latitude,longitude,offense,time,month,day,year,magnitude,city
41.879097968,-87.632283818,Assault,20:30,12,06,2002,3,Chicago
41.863442377,-87.726311182,Narcotics,10:10,12,02,2002,3,Chicago
41.781763959,-87.700778845,Deceptive Practice,18:00,12,08,2002,3,Chicago
41.964299338,-87.656769092,Theft,12:00,12,09,2002,3,Chicago
41.68849711,-87.619511003,Narcotics,23:35,12,03,2002,3,Chicago
41.751457646,-87.552892516,Prostitution,1:45,12,03,2002,3,Chicago
41.750940757,-87.625185222,Narcotics,22:15,11,30,2002,3,Chicago
41.887475918,-87.709807121,Criminal Damage,7:45,12,09,2002,3,Chicago
41.725993908,-87.655494624,Burglary,20:00,12,08,2002,3,Chicago
41.858220216,-87.727381065,Narcotics,12:48,12,04,2002,3,Chicago
41.883294509,-87.76164527,Narcotics,24:41,12,02,2002,3,Chicago
41.887858393,-87.725870759,Robbery,3:45,12,07,2002,3,Chicago
41.966053999,-87.657890403,Liquor Law Violation,3:03,12,03,2002,3,Chicago
41.902057081,-87.667462159,Narcotics,9:35,12,04,2002,3,Chicago
41.866946079,-87.659735008,Narcotics,12:30,12,01,2002,3,Chicago
41.790871439,-87.696160574,Criminal Damage,1:00,12,09,2002,3,Chicago
41.87779744,-87.710907331,Motor Vehicle Theft,4:47,12,08,2002,3,Chicago
41.696751834,-87.655274492,Narcotics,13:27,12,02,2002,3,Chicago
41.799765857,-87.620973089,Battery,19:18,12,08,2002,3,Chicago
41.867428235,-87.626269143,Criminal Damage,17:44,12,08,2002,3,Chicago
41.884924096,-87.630953163,Theft,17:00,12,06,2002,3,Chicago
41.828343176,-87.626497604,Narcotics,10:00,12,01,2002,3,Chicago
41.878460682,-87.755919637,Narcotics,15:20,12,02,2002,3,Chicago
41.77137986,-87.65792772,Theft,22:00,12,06,2002,3,Chicago
41.885028339,-87.675428114,Other Offense,7:00,12,05,2002,3,Chicago
41.790432856,-87.617490141,Criminal Damage,20:38,12,08,2002,3,Chicago
41.872844206,-87.699393275,Narcotics,11:30,12,01,2002,3,Chicago
41.887398227,-87.666193146,Theft,20:00,12,06,2002,3,Chicago
41.794344947,-87.615968735,Deceptive Practice,23:15,12,08,2002,3,Chicago
41.871079234,-87.694365969,Burglary,16:30,11,26,2002,3,Chicago
42.003734823,-87.672554607,Narcotics,15:27,12,02,2002,3,Chicago
41.903140345,-87.757144655,Narcotics,11:30,12,01,2002,3,Chicago
41.895881475,-87.719987724,Narcotics,24:42,12,01,2002,3,Chicago
41.917289775,-87.715987298,Theft,24:00,12,09,2002,3,Chicago
41.866487032,-87.697635111,Theft,17:00,11,29,2002,3,Chicago
41.898702475,-87.691846369,Narcotics,15:43,12,02,2002,3,Chicago
41.824823034,-87.613801483,Theft,13:00,12,09,2002,3,Chicago
41.775159929,-87.587993984,Motor Vehicle Theft,19:45,12,07,2002,3,Chicago
41.866182559,-87.724504682,Theft,24:15,11,03,2002,3,Chicago
41.828201751,-87.628939124,Narcotics,19:20,12,01,2002,3,Chicago
41.751226587,-87.563797873,Narcotics,15:46,12,02,2002,3,Chicago
41.880771776,-87.722067456,Theft,16:37,12,02,2002,3,Chicago
41.88233367,-87.627841791,Theft,19:57,12,08,2002,3,Chicago
41.902821888,-87.707821139,Narcotics,17:25,12,02,2002,3,Chicago
41.770400713,-87.623427921,Motor Vehicle Theft,22:15,12,07,2002,3,Chicago
41.877047448,-87.728734436,Burglary,21:00,12,02,2002,3,Chicago
41.876889551,-87.690074383,Narcotics,19:03,12,02,2002,3,Chicago
41.90258001,-87.731891502,Theft,14:18,12,03,2002,3,Chicago
41.694936031,-87.623170914,Other Offense,16:00,12,08,2002,3,Chicago
41.915989464,-87.748578539,Burglary,21:00,12,08,2002,3,Chicago
41.771021134,-87.622574267,Motor Vehicle Theft,19:30,12,03,2002,3,Chicago
41.890402086,-87.716562112,Battery,20:17,12,02,2002,3,Chicago
41.864493678,-87.639158,Theft,21:11,12,08,2002,3,Chicago
41.899513068,-87.759458328,Motor Vehicle Theft,12:00,12,05,2002,3,Chicago
41.886506397,-87.743952084,Criminal Damage,7:00,12,07,2002,3,Chicago
41.788987036,-87.74147999,Deceptive Practice,24:40,12,05,2002,3,Chicago
41.764932153,-87.576272783,Assault,18:00,12,05,2002,3,Chicago
41.883541278,-87.74906179,Motor Vehicle Theft,22:23,12,05,2002,3,Chicago
41.882394062,-87.627844798,Theft,16:45,12,07,2002,3,Chicago
41.778713031,-87.667874442,Theft,14:00,12,09,2002,3,Chicago
41.783486919,-87.62055566,Theft,13:45,12,07,2002,3,Chicago
41.888756687,-87.723456702,Assault,23:15,12,02,2002,3,Chicago
41.878260207,-87.625448401,Theft,8:31,12,08,2002,3,Chicago
41.943294921,-87.672274821,Other Offense,14:00,12,08,2002,3,Chicago
41.884574434,-87.734928509,Assault,16:55,12,02,2002,3,Chicago
41.776043304,-87.597314086,Battery,22:43,12,05,2002,3,Chicago
41.878568917,-87.720667382,Assault,19:53,12,02,2002,3,Chicago
41.801538809,-87.616145232,Battery,7:00,12,09,2002,3,Chicago
41.885028339,-87.675428114,Other Offense,15:00,12,06,2002,3,Chicago
41.772581369,-87.611804821,Criminal Damage,20:39,12,06,2002,3,Chicago
41.877109914,-87.723938314,Battery,4:45,12,01,2002,3,Chicago
41.735876539,-87.715423132,Theft,12:00,12,06,2002,3,Chicago
41.925567602,-87.660522443,Theft,24:00,12,09,2002,3,Chicago
41.95127898,-87.685959603,Theft,14:15,12,09,2002,3,Chicago
41.783582658,-87.730232951,Other Offense,14:45,12,09,2002,3,Chicago
41.761639287,-87.568856231,Theft,12:05,12,08,2002,3,Chicago
41.88320956,-87.630156699,Theft,9:00,11,04,2002,3,Chicago
41.738977681,-87.642662214,Deceptive Practice,14:40,12,06,2002,3,Chicago
41.890344819,-87.631092106,Theft,17:00,12,05,2002,3,Chicago
41.908480787,-87.674504049,Theft,13:30,12,09,2002,3,Chicago
41.904404829,-87.757023082,Theft,15:10,12,09,2002,3,Chicago
41.781433602,-87.62223197,Battery,17:00,11,27,2002,3,Chicago
41.951746668,-87.664147646,Other Offense,10:00,12,09,2002,3,Chicago
41.873807522,-87.69445629,Battery,20:15,12,02,2002,3,Chicago
41.833123537,-87.680245793,Battery,14:40,12,09,2002,3,Chicago
41.888756687,-87.723456702,Criminal Damage,22:31,12,02,2002,3,Chicago
41.887711996,-87.617139647,Theft,13:41,12,08,2002,3,Chicago
41.891434359,-87.742213648,Assault,11:57,12,02,2002,3,Chicago
41.883219895,-87.628261697,Criminal Damage,5:29,12,07,2002,3,Chicago
41.794965928,-87.605620246,Theft,13:45,12,09,2002,3,Chicago
41.875758145,-87.7377573,Criminal Damage,20:00,11,30,2002,3,Chicago
41.924196311,-87.662069166,Theft,22:00,12,06,2002,3,Chicago
41.866758579,-87.625813935,Criminal Trespass,22:39,12,05,2002,3,Chicago
41.739622639,-87.638119181,Criminal Damage,10:00,12,09,2002,3,Chicago
41.857502053,-87.666136881,Deceptive Practice,11:00,12,09,2002,3,Chicago
41.938342263,-87.784367935,Motor Vehicle Theft,24:00,12,09,2002,3,Chicago
41.884628548,-87.632436356,Theft,24:00,12,09,2002,3,Chicago
41.892086141,-87.645848605,Theft,24:30,12,09,2002,3,Chicago
41.796786995,-87.662226844,Criminal Damage,23:00,12,08,2002,3,Chicago
41.869560252,-87.639272074,Theft,24:00,12,09,2002,3,Chicago
41.786222083,-87.653459891,Motor Vehicle Theft,9:00,12,09,2002,3,Chicago
41.934304581,-87.641484982,Other Offense,23:00,12,06,2002,3,Chicago
41.916733733,-87.652109491,Theft,18:00,12,03,2002,3,Chicago
42.012270911,-87.689264024,Theft,12:00,12,09,2002,3,Chicago
41.960242136,-87.703325815,Theft,12:00,12,09,2002,3,Chicago
41.961706745,-87.716827217,Burglary,7:30,12,09,2002,3,Chicago
41.956234366,-87.720335837,Theft,20:00,12,08,2002,3,Chicago
41.645795847,-87.542472012,Theft,7:00,12,09,2002,3,Chicago
41.956320624,-87.715437956,Battery,11:00,12,09,2002,3,Chicago
42.019505197,-87.685959895,Theft,20:00,12,08,2002,3,Chicago
41.805293563,-87.610110156,Theft,17:00,12,05,2002,3,Chicago
41.723052732,-87.628700424,Theft,6:00,12,09,2002,3,Chicago
41.717119313,-87.661191965,Battery,18:30,12,07,2002,3,Chicago
41.926540342,-87.656073122,Deceptive Practice,21:00,12,08,2002,3,Chicago
41.850330711,-87.627026373,Other Offense,18:00,12,02,2002,3,Chicago
41.772273985,-87.658306929,Other Offense,24:00,12,06,2002,3,Chicago
41.996866019,-87.655592844,Other Offense,17:00,12,09,2002,3,Chicago
41.896922593,-87.62570147,Theft,9:00,12,09,2002,3,Chicago
41.734069904,-87.616079286,Theft,8:00,10,28,2002,3,Chicago
41.682291097,-87.613180491,Criminal Damage,24:00,12,09,2002,3,Chicago
41.909415629,-87.762481332,Other Offense,15:09,12,09,2002,3,Chicago
41.902160665,-87.764301825,Motor Vehicle Theft,14:00,11,26,2002,3,Chicago
41.844276629,-87.722719571,Deceptive Practice,24:00,03,26,2002,3,Chicago
41.77015944,-87.618595379,Theft,17:30,12,09,2002,3,Chicago
41.927205418,-87.751335116,Other Offense,15:00,12,07,2002,3,Chicago
41.961268588,-87.695395983,Criminal Damage,17:00,12,06,2002,3,Chicago
41.886017951,-87.624521781,Theft,9:00,12,09,2002,3,Chicago
41.998374312,-87.802986195,Other Offense,17:15,12,09,2002,3,Chicago
41.910118278,-87.785032318,Theft,14:00,12,09,2002,3,Chicago
41.761740766,-87.691727896,Criminal Damage,16:00,12,09,2002,3,Chicago
41.857522011,-87.656416401,Assault,9:00,12,09,2002,3,Chicago
41.924270193,-87.635791177,Theft,12:00,12,09,2002,3,Chicago
41.937971407,-87.836084267,Theft,9:00,12,09,2002,3,Chicago
41.68982596,-87.626265953,Assault,17:00,12,09,2002,3,Chicago
41.799011878,-87.786889989,Burglary,8:00,12,06,2002,3,Chicago
41.861800727,-87.712850295,Other Offense,18:00,12,09,2002,3,Chicago
41.931711045,-87.778416079,Other Offense,15:00,12,09,2002,3,Chicago
41.712811395,-87.676974834,Theft,24:00,03,02,2002,3,Chicago
41.824933076,-87.623104662,Motor Vehicle Theft,20:15,12,05,2002,3,Chicago
41.890081789,-87.768452647,Deceptive Practice,14:00,12,06,2002,3,Chicago
41.892105849,-87.687045945,Criminal Damage,7:00,12,09,2002,3,Chicago
41.892722047,-87.625398921,Theft,5:00,12,09,2002,3,Chicago
41.8375046,-87.618246506,Other Offense,18:30,12,09,2002,3,Chicago
41.96251173,-87.66500937,Theft,22:00,12,06,2002,3,Chicago
41.70761196,-87.537704687,Other Offense,18:35,12,09,2002,3,Chicago
41.971014414,-87.71465979,Deceptive Practice,12:00,12,06,2002,3,Chicago
41.952279488,-87.682846739,Theft,17:00,12,08,2002,3,Chicago
41.851407157,-87.733835632,Motor Vehicle Theft,10:00,12,09,2002,3,Chicago
41.859129591,-87.685828978,Theft,13:00,12,09,2002,3,Chicago
41.88320708,-87.633344253,Theft,13:30,12,09,2002,3,Chicago
41.928055525,-87.779509792,Other Offense,14:00,12,09,2002,3,Chicago
41.734758229,-87.544404212,Theft,23:00,12,08,2002,3,Chicago
41.782886399,-87.589041133,Theft,19:40,12,09,2002,3,Chicago
41.910294813,-87.648257992,Other Offense,16:30,12,09,2002,3,Chicago
41.833214055,-87.668755951,Other Offense,8:00,12,09,2002,3,Chicago
41.904936703,-87.681009546,Theft,9:00,12,09,2002,3,Chicago
41.71492485,-87.532860369,Theft,16:00,12,09,2002,3,Chicago
41.966420816,-87.727562874,Other Offense,3:00,12,08,2002,3,Chicago
41.880689561,-87.631374096,Deceptive Practice,9:00,12,09,2002,3,Chicago
41.949633623,-87.758350978,Deceptive Practice,8:55,12,09,2002,3,Chicago
41.970259843,-87.66947716,Deceptive Practice,24:00,11,15,2002,3,Chicago
41.952279592,-87.682865119,Theft,18:00,12,08,2002,3,Chicago
41.787053821,-87.732781833,Other Offense,18:45,12,09,2002,3,Chicago
41.847681005,-87.702680723,Other Offense,20:44,12,09,2002,3,Chicago
41.889617465,-87.631070692,Theft,24:00,12,09,2002,3,Chicago
41.891144795,-87.685483707,Arson,17:21,12,09,2002,3,Chicago
41.865740315,-87.659090508,Theft,20:00,12,09,2002,3,Chicago
41.796322451,-87.699788559,Burglary,21:00,12,08,2002,3,Chicago
41.949426866,-87.672512906,Theft,8:00,12,09,2002,3,Chicago
41.852121445,-87.625483421,Motor Vehicle Theft,24:00,12,09,2002,3,Chicago
41.907358963,-87.689603279,Other Offense,24:00,12,09,2002,3,Chicago
41.7750266,-87.665364618,Theft,17:30,12,09,2002,3,Chicago
41.880452664,-87.748799829,Other Offense,10:30,12,07,2002,3,Chicago
41.885448298,-87.711901743,Theft,24:00,09,03,2002,3,Chicago
41.680475202,-87.652956101,Theft,12:00,02,19,2002,3,Chicago
41.908321717,-87.762138401,Theft,14:30,12,09,2002,3,Chicago
41.898408086,-87.693186339,Theft,24:00,12,09,2002,3,Chicago
41.856725558,-87.647523227,Theft,18:00,12,09,2002,3,Chicago
41.895002822,-87.621454706,Theft,13:00,12,09,2002,3,Chicago
41.974695079,-87.66958188,Theft,17:00,12,09,2002,3,Chicago
41.935191052,-87.664658867,Theft,8:55,12,09,2002,3,Chicago
41.82002944,-87.613466272,Theft,18:00,11,30,2002,3,Chicago
41.769231153,-87.569854828,Theft,12:00,11,02,2002,3,Chicago
41.959647837,-87.760661821,Criminal Damage,9:00,12,09,2002,3,Chicago
41.784536867,-87.696520294,Criminal Damage,18:00,12,09,2002,3,Chicago
41.808599038,-87.74440631,Burglary,21:00,12,09,2002,3,Chicago
41.955232986,-87.748260383,Other Offense,21:45,12,09,2002,3,Chicago
41.771265369,-87.731635068,Burglary,17:00,12,03,2002,3,Chicago
41.904506375,-87.774232499,Theft,16:00,12,09,2002,3,Chicago
41.897999824,-87.629068841,Deceptive Practice,18:45,12,06,2002,3,Chicago
41.751214876,-87.571098146,Other Offense,14:00,11,25,2002,3,Chicago
41.892571811,-87.621959165,Deceptive Practice,9:00,12,09,2002,3,Chicago
41.783606343,-87.693519239,Other Offense,11:00,12,09,2002,3,Chicago
41.810729022,-87.601726053,Assault,20:00,12,05,2002,3,Chicago
